#random sampling: 64669711
Gene	MS_CK.R1	MS_PE.R2	MS_CK.R2	MS_PE.R1	LS_CK.R1	LS_PE.R2	HS_CK.R2	HS_PE.R1	LS_PE.R1	LS_CK.R2	HS_PE.R2	HS_CK.R1	MS_PLA.R2	LS_PLA.R1	HS_PLA.R1	LS_PLA.R2	HS_PLA.R2	MS_PLA.R1
NR	3066	2613	2957	2607	3572	3078	3413	2146	2962	3501	2046	3353	2633	2727	3109	2776	3071	2643
amoA_A	54	74	54	66	408	227	0	0	247	398	0	1	45	225	0	223	0	47
amoA_B	39	47	46	43	52	39	1	2	33	65	2	2	24	46	0	56	0	24
amoB_A	42	65	54	57	328	199	0	0	193	318	0	0	45	154	0	160	0	47
amoB_B	66	37	70	44	116	77	0	0	81	105	0	0	38	60	0	64	0	30
amoC_A	127	136	121	145	729	413	0	2	419	704	1	0	100	308	0	313	0	127
amoC_B	48	46	54	46	188	111	0	0	95	199	0	1	28	111	0	105	0	37
anfG	0	0	0	0	328	0	0	0	0	335	0	0	0	0	0	0	0	0
ansB	1715	1530	1643	1612	1992	2752	1878	1637	2829	1947	1604	1924	1632	1836	1977	1854	1797	1591
asnB	36972	37085	37001	37310	35094	33447	19612	18252	33497	34971	18238	19652	38022	30974	22731	30949	22584	37935
gdh_K00260	1079	1162	1100	1129	736	690	6298	3232	655	734	3011	6371	938	3513	4547	3387	4550	984
gdh_K00261	10522	10217	10559	10231	11711	10642	7818	10181	10755	11666	10185	7819	10060	13124	12463	13361	12363	10142
gdh_K00262	13895	14409	13932	14354	6984	9092	12346	10316	9037	7068	10263	12391	14883	7981	15087	8087	15146	14754
gdh_K15371	11917	10749	11776	10736	17547	18244	61679	39468	18347	17486	39075	62056	10426	14903	66593	14593	66216	10484
glnA	44095	43512	44244	43345	55290	50539	49508	34690	50396	55446	34513	49814	42075	41420	49728	41575	49019	42196
glsA	5054	4681	5011	4644	5116	7510	7777	6778	7551	5089	6722	7944	4602	5375	10702	5408	10468	4638
gs_K00264	1191	1154	1177	1152	686	627	314	420	614	678	434	307	1213	619	388	559	386	1234
gs_K00265	32006	31592	31797	31348	44302	36452	67896	45008	36635	44126	44990	68168	32005	32214	67813	32316	67837	31916
gs_K00266	65592	65734	65346	66277	52292	54553	49986	29652	55094	51898	29597	50407	69419	50405	43262	50323	42364	69706
gs_K00284	8161	7385	8151	7506	8979	10914	5288	4097	10963	9004	3953	5297	7582	8390	6842	8389	6796	7762
hao	1118	1328	1123	1330	606	678	224	186	659	615	192	220	1392	476	144	476	122	1360
hcp	10851	11277	10925	11201	6701	5207	7814	2460	5201	6733	2564	7787	11814	6485	4167	6482	4176	11852
hdh	9	13	10	13	1	0	0	0	0	1	0	0	13	1	1	1	3	9
hzo	60	82	62	73	43	31	0	5	29	50	6	0	53	38	0	46	0	52
hzsA	77	74	94	49	47	30	1	0	46	33	4	0	76	33	1	38	2	71
hzsB	33	32	37	32	30	31	1	11	25	22	1	1	30	7	13	14	3	44
hzsC	2	4	4	2	2	8	0	0	4	1	0	0	3	9	0	3	0	3
nao	84	58	86	65	87	63	9	38	66	93	30	8	80	76	20	69	15	65
napA	7805	8207	7749	8359	6862	6103	19215	11031	6074	6828	11151	19444	8736	5815	13488	5884	13482	8784
napB	226	280	231	280	360	375	2116	1104	369	366	1101	2129	252	300	1552	294	1584	284
napC	1128	1368	1076	1363	2039	2151	4724	2351	2170	2101	2419	4780	1125	1270	3128	1301	3002	1165
narB	3962	3822	3936	3824	5300	5258	3386	2473	5273	5129	2504	3292	3969	3867	3778	3966	3653	3996
narC	1055	1097	1057	1117	2507	2191	575	1184	2076	2478	1165	569	1092	2027	1121	1966	1126	1078
narG	4977	4890	4850	4811	11586	12446	19116	12345	12377	11549	12304	19003	5069	11373	20185	11198	20420	5066
narH	2710	2786	2707	2714	4616	6035	13010	9279	5920	4656	9333	12992	2777	4635	15487	4678	15360	2791
narI	1457	1379	1421	1434	3061	3356	4797	3826	3303	3025	3701	4746	1416	2921	6546	2902	6596	1362
narJ	814	799	770	807	2154	2966	6996	4565	2947	2069	4532	7150	811	1973	8004	2014	7885	798
narV	41	44	45	29	83	515	2982	930	538	102	891	2946	95	166	1918	145	1952	100
narW	1	2	3	1	13	2	825	408	8	9	389	772	2	3	557	2	519	2
narY	935	981	972	957	2755	2824	4390	2177	2867	2752	2175	4474	940	2507	4218	2507	4257	929
narZ	4489	4329	4443	4395	6895	10049	25416	17662	10127	6883	17517	25668	4675	7013	29622	7077	29220	4714
nasA	10974	10888	11003	10760	16582	15969	31755	18815	15907	16481	18388	31871	10951	12276	29825	12153	29458	10784
nasB	713	571	717	617	1059	774	471	311	799	1030	316	500	645	962	432	912	409	659
nifD	4366	5567	4383	5565	9278	8736	5533	2247	8619	9340	2257	5631	5593	6191	2386	6129	2414	5675
nifH	2406	3035	2468	3039	4263	3778	2384	962	3951	4246	986	2361	3004	2757	1111	2748	1092	3029
nifK	4313	5736	4285	5696	7971	7259	5279	2250	7289	8061	2236	5151	5708	5455	2536	5476	2496	5561
nifW	150	213	142	217	466	804	68	19	777	457	14	66	204	322	3	333	2	198
nirA	3216	2771	3285	2810	6357	5812	5739	4381	5813	6245	4232	5690	2771	5754	6170	5737	5966	2773
nirB	9789	9809	9780	9947	14182	14916	39704	21896	14841	14301	21759	39858	9963	10788	37454	10733	37098	9963
nirD	1829	1758	1811	1860	3793	3482	5405	3565	3495	3828	3634	5480	1764	2632	5467	2604	5433	1815
nirK	7166	6905	7126	6940	10938	10235	8581	9775	10245	11010	9650	8504	6618	9405	12659	9334	12535	6590
nirS	4121	4507	4155	4401	3840	3431	22201	11427	3507	3900	11593	22267	4159	2665	19689	2672	19472	4095
nmo	25401	25427	25279	25710	30531	29929	32759	22281	29962	30273	22109	32958	25753	25572	33826	25639	33308	25609
norB	7181	6916	7238	7026	10451	14559	29112	20729	14443	10534	20538	29358	7289	8923	29284	9031	29351	7136
norC	567	509	577	516	1251	2058	5514	3657	2029	1208	3538	5609	506	1071	4116	1045	4077	491
nosZ	4897	5038	4728	5094	7425	9352	16506	11555	9297	7521	11556	16750	4801	5900	18295	5885	18186	4755
nrfA	7429	7718	7438	7738	4874	5112	2725	1851	5101	4826	1819	2693	8079	5391	1861	5342	1868	8083
nrfB	12	9	6	11	16	33	0	22	28	17	17	0	10	9	0	9	0	13
nrfC	10239	10824	10291	10795	8192	8955	4906	3359	8868	8131	3354	4978	10767	6789	3768	6796	3857	10847
nrfD	81	77	68	54	63	94	25	17	98	73	16	30	81	93	6	111	4	84
nxrA	49	46	56	46	95	61	65	113	63	81	90	76	43	87	178	104	188	56
nxrB	283	206	282	211	583	399	27	69	380	583	66	19	204	469	60	504	68	218
pmoA	3	8	3	10	107	218	2	1	210	109	1	2	2	39	0	39	0	3
pmoB	53	78	53	73	192	248	27	6	274	185	4	28	47	75	17	79	14	51
pmoC	1	1	2	3	64	121	2	15	127	64	12	0	0	23	1	28	0	1
ureA	792	760	762	810	1316	1588	1113	626	1510	1282	613	1206	746	989	1157	1051	1191	751
ureB	787	759	793	738	1216	1378	1124	700	1390	1221	656	1154	819	998	1226	939	1126	731
ureC	4894	4856	4979	4688	8009	9140	6244	3997	9163	7944	4125	6131	4572	5840	6703	5860	6850	4569
