DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,binary_data
COLOR,#ff0000
FIELD_LABELS,N2_fixation
FIELD_COLORS,#96B6D8
FIELD_SHAPES,2
SHOW_INTERNAL,1
MARGIN,0
SIZE_FACTOR,1
SHOW_LABELS,0
LABEL_ROTATION,0
HEIGHT_FACTOR,1
SYMBOL_SPACING,10
DATA
Salt-MAG64,1
Salt-MAG118,1
Salt-MAG116,1
Salt-MAG188,1
Salt-MAG218,1
Salt-MAG38,1
Salt-MAG10,1
Salt-MAG92,1
Salt-MAG162,1
Salt-MAG89,1
Salt-MAG163,1
Salt-MAG179,1
Salt-MAG105,1
Salt-MAG226,1
Salt-MAG241,1
Salt-MAG93,1
Salt-MAG101,1
Salt-MAG187,1
Salt-MAG128,1
Salt-MAG44,1
Salt-MAG100,1
Salt-MAG200,1
Salt-MAG240,1
Salt-MAG46,1
Salt-MAG2,1
Salt-MAG56,1
Salt-MAG84,1
Salt-MAG147,1
Salt-MAG148,1
Salt-MAG185,1
Salt-MAG59,1
Salt-MAG21,1
Salt-MAG130,1
Salt-MAG222,1
Salt-MAG14,1
Salt-MAG223,1
Salt-MAG228,1
Salt-MAG104,1
Salt-MAG115,1
Salt-MAG167,1
Salt-MAG138,1
Salt-MAG230,1
Salt-MAG117,1
