DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,binary_data
COLOR,#ff0000
FIELD_LABELS,Nitrous_oxide_reduction
FIELD_COLORS,#F19685
FIELD_SHAPES,2
SHOW_INTERNAL,1
MARGIN,0
SIZE_FACTOR,1
SHOW_LABELS,0
LABEL_ROTATION,0
HEIGHT_FACTOR,1
SYMBOL_SPACING,10
DATA
Salt-MAG30,-1
Salt-MAG197,-1
Salt-MAG125,-1
Salt-MAG53,-1
Salt-MAG6,-1
Salt-MAG132,-1
Salt-MAG183,-1
Salt-MAG62,1
Salt-MAG216,-1
Salt-MAG180,-1
Salt-MAG246,-1
Salt-MAG99,-1
Salt-MAG169,-1
Salt-MAG86,-1
Salt-MAG247,-1
Salt-MAG39,-1
Salt-MAG175,-1
Salt-MAG73,-1
Salt-MAG176,-1
Salt-MAG83,-1
Salt-MAG66,-1
Salt-MAG177,-1
Salt-MAG137,-1
Salt-MAG3,-1
Salt-MAG198,-1
Salt-MAG22,-1
Salt-MAG178,-1
Salt-MAG166,-1
Salt-MAG64,-1
Salt-MAG155,-1
Salt-MAG118,-1
Salt-MAG199,-1
Salt-MAG106,-1
Salt-MAG11,-1
Salt-MAG153,-1
Salt-MAG181,-1
Salt-MAG7,-1
Salt-MAG45,-1
Salt-MAG47,-1
Salt-MAG227,-1
Salt-MAG119,-1
Salt-MAG202,-1
Salt-MAG48,-1
Salt-MAG16,1
Salt-MAG116,-1
Salt-MAG188,1
Salt-MAG218,1
Salt-MAG38,1
Salt-MAG28,-1
Salt-MAG88,1
Salt-MAG112,-1
Salt-MAG206,1
Salt-MAG81,-1
Salt-MAG10,-1
Salt-MAG154,-1
Salt-MAG215,-1
Salt-MAG174,-1
Salt-MAG20,-1
Salt-MAG245,-1
Salt-MAG171,-1
Salt-MAG229,1
Salt-MAG92,1
Salt-MAG121,-1
Salt-MAG129,-1
Salt-MAG238,-1
Salt-MAG161,-1
Salt-MAG61,-1
Salt-MAG114,1
Salt-MAG140,-1
Salt-MAG208,-1
Salt-MAG80,-1
Salt-MAG71,-1
Salt-MAG19,-1
Salt-MAG49,-1
Salt-MAG224,1
Salt-MAG4,1
Salt-MAG190,-1
Salt-MAG85,-1
Salt-MAG236,-1
Salt-MAG162,-1
Salt-MAG89,-1
Salt-MAG146,-1
Salt-MAG98,-1
Salt-MAG201,-1
Salt-MAG120,-1
Salt-MAG24,-1
Salt-MAG12,-1
Salt-MAG194,-1
Salt-MAG95,1
Salt-MAG72,1
Salt-MAG232,-1
Salt-MAG123,-1
Salt-MAG163,1
Salt-MAG179,1
Salt-MAG69,-1
Salt-MAG203,1
Salt-MAG105,1
Salt-MAG235,-1
Salt-MAG113,-1
Salt-MAG226,1
Salt-MAG241,1
Salt-MAG93,1
Salt-MAG25,-1
Salt-MAG164,-1
Salt-MAG101,-1
Salt-MAG187,-1
Salt-MAG109,-1
Salt-MAG128,-1
Salt-MAG31,-1
Salt-MAG151,-1
Salt-MAG77,-1
Salt-MAG189,-1
Salt-MAG196,-1
Salt-MAG52,-1
Salt-MAG209,1
Salt-MAG108,1
Salt-MAG58,-1
Salt-MAG68,1
Salt-MAG103,1
Salt-MAG134,1
Salt-MAG97,1
Salt-MAG74,1
Salt-MAG219,1
Salt-MAG79,1
Salt-MAG60,1
Salt-MAG23,1
Salt-MAG186,1
Salt-MAG152,-1
Salt-MAG160,-1
Salt-MAG213,-1
Salt-MAG76,-1
Salt-MAG141,1
Salt-MAG44,-1
Salt-MAG82,-1
Salt-MAG211,-1
Salt-MAG149,-1
Salt-MAG131,-1
Salt-MAG35,-1
Salt-MAG100,-1
Salt-MAG207,-1
Salt-MAG32,-1
Salt-MAG75,-1
Salt-MAG158,-1
Salt-MAG42,-1
Salt-MAG41,-1
Salt-MAG193,-1
Salt-MAG107,1
Salt-MAG70,1
Salt-MAG54,1
Salt-MAG51,-1
Salt-MAG94,1
Salt-MAG43,1
Salt-MAG205,1
Salt-MAG34,1
Salt-MAG157,1
Salt-MAG33,1
Salt-MAG55,1
Salt-MAG142,-1
Salt-MAG237,-1
Salt-MAG110,-1
Salt-MAG231,1
Salt-MAG87,-1
Salt-MAG144,-1
Salt-MAG143,-1
Salt-MAG165,-1
Salt-MAG145,-1
Salt-MAG192,-1
Salt-MAG200,-1
Salt-MAG182,-1
Salt-MAG27,-1
Salt-MAG240,-1
Salt-MAG57,-1
Salt-MAG102,-1
Salt-MAG46,-1
Salt-MAG2,-1
Salt-MAG56,-1
Salt-MAG191,-1
Salt-MAG84,-1
Salt-MAG221,-1
Salt-MAG147,-1
Salt-MAG50,-1
Salt-MAG242,-1
Salt-MAG65,-1
Salt-MAG217,-1
Salt-MAG243,-1
Salt-MAG15,-1
Salt-MAG148,-1
Salt-MAG185,-1
Salt-MAG59,-1
Salt-MAG21,-1
Salt-MAG233,-1
Salt-MAG130,-1
Salt-MAG63,-1
Salt-MAG78,-1
Salt-MAG234,-1
Salt-MAG222,-1
Salt-MAG14,-1
Salt-MAG223,-1
Salt-MAG18,-1
Salt-MAG228,-1
Salt-MAG104,-1
Salt-MAG126,-1
Salt-MAG115,-1
Salt-MAG167,-1
Salt-MAG138,-1
Salt-MAG230,-1
Salt-MAG117,-1
Salt-MAG184,-1
Salt-MAG111,-1
Salt-MAG173,-1
Salt-MAG159,-1
Salt-MAG204,-1
Salt-MAG195,-1
Salt-MAG8,-1
Salt-MAG1,-1
