DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,Contamination
COLOR,#ff0000
FIELD_LABELS,Contamination
FIELD_COLORS,#BEBADA
SHOW_INTERNAL,0
MARGIN,0
ALIGN_FIELDS,0
DATASET_SCALE,100,300,500,700
WIDTH,1000
HEIGHT_FACTOR,1
MAXIMUM_SIZE,100
BAR_SHIFT,0
DATA
Salt-MAG30,2.759381898
Salt-MAG197,3.636363636
Salt-MAG125,2.101010101
Salt-MAG53,1.724137931
Salt-MAG6,4.727272727
Salt-MAG132,9.843260188
Salt-MAG183,7.915360502
Salt-MAG62,1.983471074
Salt-MAG216,1.834862385
Salt-MAG180,1.683168317
Salt-MAG246,5.236625514
Salt-MAG99,4.732510288
Salt-MAG169,3.134796238
Salt-MAG86,3.813559322
Salt-MAG247,2.518796992
Salt-MAG39,4.911493393
Salt-MAG175,2.07253886
Salt-MAG73,2.603415103
Salt-MAG176,2.071846282
Salt-MAG83,1.445086705
Salt-MAG66,2.552986513
Salt-MAG177,2.601156069
Salt-MAG137,9.482758621
Salt-MAG3,5.823189157
Salt-MAG198,0.854700855
Salt-MAG22,7.115987461
Salt-MAG178,2.136752137
Salt-MAG166,1.724137931
Salt-MAG64,3.448275862
Salt-MAG155,2.152777778
Salt-MAG118,3.611111111
Salt-MAG199,0.416666667
Salt-MAG106,5.611285266
Salt-MAG11,0.854700855
Salt-MAG153,0.925925926
Salt-MAG181,3.418803419
Salt-MAG7,1.851851852
Salt-MAG45,0
Salt-MAG47,0
Salt-MAG227,0
Salt-MAG119,4.516129032
Salt-MAG202,2.727272727
Salt-MAG48,2
Salt-MAG16,4.444444444
Salt-MAG116,0
Salt-MAG188,1.119402985
Salt-MAG218,1.824212272
Salt-MAG38,1.965065502
Salt-MAG28,0
Salt-MAG88,1.591365462
Salt-MAG112,0.909090909
Salt-MAG206,3.448400637
Salt-MAG81,3.53811149
Salt-MAG10,4.459148446
Salt-MAG154,1.724137931
Salt-MAG215,2.103311597
Salt-MAG174,0.108695652
Salt-MAG20,2.664576803
Salt-MAG245,2.950819672
Salt-MAG171,3.739754098
Salt-MAG229,4.310344828
Salt-MAG92,1.669912366
Salt-MAG121,0.778256705
Salt-MAG129,1.724137931
Salt-MAG238,1.400862069
Salt-MAG161,0.564148073
Salt-MAG61,1.605603448
Salt-MAG114,5.172413793
Salt-MAG140,3.81884058
Salt-MAG208,0.925925926
Salt-MAG80,3.448275862
Salt-MAG71,1.44371345
Salt-MAG19,3.208812261
Salt-MAG49,0
Salt-MAG224,3.448275862
Salt-MAG4,2.74476601
Salt-MAG190,0.4743083
Salt-MAG85,1.851851852
Salt-MAG236,1.347583643
Salt-MAG162,4.214559387
Salt-MAG89,0.720720721
Salt-MAG146,1.430976431
Salt-MAG98,0
Salt-MAG201,1.501523168
Salt-MAG120,2.316818983
Salt-MAG24,0.336700337
Salt-MAG12,4.003011122
Salt-MAG194,1.162790698
Salt-MAG95,1.264367816
Salt-MAG72,4.665492958
Salt-MAG232,5.696397963
Salt-MAG123,0
Salt-MAG163,4.371618298
Salt-MAG179,2.219626168
Salt-MAG69,2.92834891
Salt-MAG203,4.887071651
Salt-MAG105,3.247663551
Salt-MAG235,1.489485981
Salt-MAG113,1.963107518
Salt-MAG226,1.8227623
Salt-MAG241,2.057399723
Salt-MAG93,4.874957339
Salt-MAG25,7.151172364
Salt-MAG164,0.789889415
Salt-MAG101,8.620689655
Salt-MAG187,0.778605281
Salt-MAG109,0.868878357
Salt-MAG128,4.242834575
Salt-MAG31,0.877192982
