DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	MAGGS1
COLOR	#ff0000
FIELD_LABELS	GS
SHOW_INTERNAL	0
MARGIN	0
STRIP_WIDTH	25
COLOR_MIN	#ff0000
COLOR_MID	#ffff00
COLOR_MAX	#0000ff
SHOW_TREE	0
USE_MID_COLOR	1
DATA
Salt-MAG30	5108146
Salt-MAG197	3545973
Salt-MAG125	4099007
Salt-MAG53	1851133
Salt-MAG6	2937996
Salt-MAG132	3962109
Salt-MAG183	3230980
Salt-MAG62	4070804
Salt-MAG216	2063344
Salt-MAG180	4424358
Salt-MAG246	3886282
Salt-MAG99	3348110
Salt-MAG169	2487657
Salt-MAG86	3248600
Salt-MAG247	5199654
Salt-MAG39	3986758
Salt-MAG175	3281292
Salt-MAG73	2353771
Salt-MAG176	3052691
Salt-MAG83	2592892
Salt-MAG66	2773216
Salt-MAG177	3476405
Salt-MAG137	2059836
Salt-MAG3	3673592
Salt-MAG198	3040851
Salt-MAG22	2535327
Salt-MAG178	1702995
Salt-MAG166	2641727
Salt-MAG64	1917385
Salt-MAG155	2095242
Salt-MAG118	2149325
Salt-MAG199	1326686
Salt-MAG106	1906039
Salt-MAG11	671749
Salt-MAG153	908511
Salt-MAG181	788355
Salt-MAG7	981116
Salt-MAG45	848295
Salt-MAG47	1218929
Salt-MAG227	1602749
Salt-MAG119	5752312
Salt-MAG202	3776136
Salt-MAG48	2966333
Salt-MAG16	4755670
Salt-MAG116	2897369
Salt-MAG188	3886158
Salt-MAG218	3354291
Salt-MAG38	4084418
Salt-MAG28	3447602
Salt-MAG88	3802978
Salt-MAG112	4373594
Salt-MAG206	3060053
Salt-MAG81	4181049
Salt-MAG10	4236590
Salt-MAG154	3943023
Salt-MAG215	1863589
Salt-MAG174	3250576
Salt-MAG20	2499275
Salt-MAG245	4836468
Salt-MAG171	4424549
Salt-MAG229	2401240
Salt-MAG92	5124126
Salt-MAG121	5106767
Salt-MAG129	4444472
Salt-MAG238	3412774
Salt-MAG161	2615191
Salt-MAG61	3782749
Salt-MAG114	3556837
Salt-MAG140	3720202
Salt-MAG208	3508126
Salt-MAG80	2962477
Salt-MAG71	3741918
Salt-MAG19	3059023
Salt-MAG49	2502897
Salt-MAG224	3517764
Salt-MAG4	3381379
Salt-MAG190	7063486
Salt-MAG85	2774793
Salt-MAG236	3145698
Salt-MAG162	3033201
Salt-MAG89	3277609
Salt-MAG146	1966122
Salt-MAG98	2051935
Salt-MAG201	2353221
Salt-MAG120	2140287
Salt-MAG24	2232922
Salt-MAG12	2017493
Salt-MAG194	2428870
Salt-MAG95	2521144
Salt-MAG72	3651539
Salt-MAG232	2309996
Salt-MAG123	2388198
Salt-MAG163	5560606
Salt-MAG179	4983369
Salt-MAG69	4101146
Salt-MAG203	3543632
Salt-MAG105	2856874
Salt-MAG235	4510797
Salt-MAG113	2892109
Salt-MAG226	5802224
Salt-MAG241	4965345
Salt-MAG93	4378959
Salt-MAG25	3209160
Salt-MAG164	4652244
Salt-MAG101	4505278
Salt-MAG187	4293922
Salt-MAG109	2383393
Salt-MAG128	4910064
Salt-MAG31	945470
Salt-MAG151	1649037
Salt-MAG77	1867399
Salt-MAG189	5223021
Salt-MAG196	4026261
Salt-MAG52	3951143
Salt-MAG209	7520812
Salt-MAG108	10643273
Salt-MAG58	4122804
Salt-MAG68	3955767
Salt-MAG103	2265098
Salt-MAG134	2960729
Salt-MAG97	1902299
Salt-MAG74	2136763
Salt-MAG219	4059197
Salt-MAG79	2792109
Salt-MAG60	2479278
Salt-MAG23	2147392
Salt-MAG186	2520894
Salt-MAG152	4731839
Salt-MAG160	3401412
Salt-MAG213	3189037
Salt-MAG76	4710721
Salt-MAG141	3613349
Salt-MAG44	4076316
Salt-MAG82	5212666
Salt-MAG211	4363534
Salt-MAG149	3701936
Salt-MAG131	3322979
Salt-MAG35	4987249
Salt-MAG100	3017197
Salt-MAG207	3414649
Salt-MAG32	3240323
Salt-MAG75	3221630
Salt-MAG158	2382561
Salt-MAG42	2743952
Salt-MAG41	3062608
Salt-MAG193	2361188
Salt-MAG107	2136154
Salt-MAG70	5195612
Salt-MAG54	3910090
Salt-MAG51	2771019
Salt-MAG94	2533037
Salt-MAG43	2722426
Salt-MAG205	2477168
Salt-MAG34	4127585
Salt-MAG157	2860473
Salt-MAG33	3749132
Salt-MAG55	4073245
Salt-MAG142	4993505
Salt-MAG237	3381591
Salt-MAG110	2312492
Salt-MAG231	3169669
Salt-MAG87	2538236
Salt-MAG144	1667728
Salt-MAG143	2521767
Salt-MAG165	3803494
Salt-MAG145	1335577
Salt-MAG192	3768220
Salt-MAG200	7590375
Salt-MAG182	5801536
Salt-MAG27	4123466
Salt-MAG240	5773819
Salt-MAG57	2508355
Salt-MAG102	3210411
Salt-MAG46	3210661
Salt-MAG2	3048724
Salt-MAG56	2259096
Salt-MAG191	3506877
Salt-MAG84	4098508
Salt-MAG221	3523325
Salt-MAG147	4072482
Salt-MAG50	2366613
Salt-MAG242	4274865
Salt-MAG65	3775713
Salt-MAG217	2157903
Salt-MAG243	2298876
Salt-MAG15	1952172
Salt-MAG148	2891441
Salt-MAG185	3238207
Salt-MAG59	4523872
Salt-MAG21	3912592
Salt-MAG233	1493883
Salt-MAG130	2186914
Salt-MAG63	1421758
Salt-MAG78	2243984
Salt-MAG234	2183085
Salt-MAG222	3683437
Salt-MAG14	3050381
Salt-MAG223	4332393
Salt-MAG18	2343959
Salt-MAG228	2926770
Salt-MAG104	3915224
Salt-MAG126	2909829
Salt-MAG115	3250107
Salt-MAG167	2457919
Salt-MAG138	3689462
Salt-MAG230	3712473
Salt-MAG117	3059624
Salt-MAG184	2428685
Salt-MAG111	1625109
Salt-MAG173	2093238
Salt-MAG159	994948
Salt-MAG204	1812842
Salt-MAG195	1631731
Salt-MAG8	2280899
Salt-MAG1	4187448
