DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	MAGGC1
COLOR	#ff0000
FIELD_LABELS	GC
SHOW_INTERNAL	0
MARGIN	0
STRIP_WIDTH	25
COLOR_MIN	#ff0000
COLOR_MID	#ffff00
COLOR_MAX	#0000ff
SHOW_TREE	0
USE_MID_COLOR	1
DATA
Salt-MAG30	0.37179321
Salt-MAG197	0.572944859
Salt-MAG125	0.528699268
Salt-MAG53	0.385514169
Salt-MAG6	0.468451284
Salt-MAG132	0.524920188
Salt-MAG183	0.568840104
Salt-MAG62	0.519750398
Salt-MAG216	0.634366349
Salt-MAG180	0.648284339
Salt-MAG246	0.709171903
Salt-MAG99	0.688168549
Salt-MAG169	0.728150223
Salt-MAG86	0.707002093
Salt-MAG247	0.646870926
Salt-MAG39	0.685128367
Salt-MAG175	0.705324915
Salt-MAG73	0.710714849
Salt-MAG176	0.669271472
Salt-MAG83	0.684771676
Salt-MAG66	0.663708128
Salt-MAG177	0.719435451
Salt-MAG137	0.71345243
Salt-MAG3	0.67866437
Salt-MAG198	0.638409116
Salt-MAG22	0.689092965
Salt-MAG178	0.665041295
Salt-MAG166	0.72412895
Salt-MAG64	0.63966809
Salt-MAG155	0.66172929
Salt-MAG118	0.656997895
Salt-MAG199	0.661779049
Salt-MAG106	0.644986802
Salt-MAG11	0.361404334
Salt-MAG153	0.397673776
Salt-MAG181	0.472835207
Salt-MAG7	0.521229906
Salt-MAG45	0.474292552
Salt-MAG47	0.410886114
Salt-MAG227	0.402764875
Salt-MAG119	0.544562256
Salt-MAG202	0.508591587
Salt-MAG48	0.508090292
Salt-MAG16	0.666379501
Salt-MAG116	0.583759266
Salt-MAG188	0.662495966
Salt-MAG218	0.642968067
Salt-MAG38	0.649534401
Salt-MAG28	0.674603681
Salt-MAG88	0.630818006
Salt-MAG112	0.624734029
Salt-MAG206	0.630178628
Salt-MAG81	0.6574154
Salt-MAG10	0.690516193
Salt-MAG154	0.681014034
Salt-MAG215	0.61965648
Salt-MAG174	0.58861691
Salt-MAG20	0.627270709
Salt-MAG245	0.655835209
Salt-MAG171	0.657852812
Salt-MAG229	0.623675268
Salt-MAG92	0.683450797
Salt-MAG121	0.477943482
Salt-MAG129	0.471284553
Salt-MAG238	0.580426363
Salt-MAG161	0.559733496
Salt-MAG61	0.540356233
Salt-MAG114	0.551763547
Salt-MAG140	0.640013365
Salt-MAG208	0.569411988
Salt-MAG80	0.616656264
Salt-MAG71	0.560602878
Salt-MAG19	0.602916683
Salt-MAG49	0.577367746
Salt-MAG224	0.561901537
Salt-MAG4	0.576088927
Salt-MAG190	0.60896277
Salt-MAG85	0.581531667
Salt-MAG236	0.65648705
Salt-MAG162	0.62351918
Salt-MAG89	0.55889705
Salt-MAG146	0.530785984
Salt-MAG98	0.46897197
Salt-MAG201	0.467166492
Salt-MAG120	0.47868627
Salt-MAG24	0.508716829
Salt-MAG12	0.678894053
Salt-MAG194	0.401240906
Salt-MAG95	0.545545594
Salt-MAG72	0.560529684
Salt-MAG232	0.639367341
Salt-MAG123	0.645132439
Salt-MAG163	0.66700446
Salt-MAG179	0.659673406
Salt-MAG69	0.628019095
Salt-MAG203	0.598938603
Salt-MAG105	0.609342939
Salt-MAG235	0.692629041
Salt-MAG113	0.678822963
Salt-MAG226	0.655124311
Salt-MAG241	0.643238285
Salt-MAG93	0.628261877
Salt-MAG25	0.662542223
Salt-MAG164	0.644128296
Salt-MAG101	0.593184927
Salt-MAG187	0.590544495
Salt-MAG109	0.581956899
Salt-MAG128	0.63629802
Salt-MAG31	0.419113245
Salt-MAG151	0.374312402
Salt-MAG77	0.37572206
Salt-MAG189	0.616937209
Salt-MAG196	0.399138307
Salt-MAG52	0.616227001
Salt-MAG209	0.726623535
Salt-MAG108	0.72652933
Salt-MAG58	0.402242503
Salt-MAG68	0.451913624
Salt-MAG103	0.415664576
Salt-MAG134	0.370917433
Salt-MAG97	0.372977644
Salt-MAG74	0.400645743
Salt-MAG219	0.370243179
Salt-MAG79	0.397144238
Salt-MAG60	0.371294385
Salt-MAG23	0.359162184
Salt-MAG186	0.349041253
Salt-MAG152	0.405299715
Salt-MAG160	0.42130768
Salt-MAG213	0.451731353
Salt-MAG76	0.411172302
Salt-MAG141	0.426639386
Salt-MAG44	0.447811455
Salt-MAG82	0.358038286
Salt-MAG211	0.377242849
Salt-MAG149	0.413864799
Salt-MAG131	0.429244061
Salt-MAG35	0.43517779
Salt-MAG100	0.488908083
Salt-MAG207	0.45812
Salt-MAG32	0.413000494
Salt-MAG75	0.427851119
Salt-MAG158	0.394702171
Salt-MAG42	0.435378243
